Year,Month,State,Species,Metrics_tons,Pounds,Dollars
1990,Jan,Alaska,SHELLFISH,128.3,"282,899","169,594"
1991,Jan,Alaska,SHELLFISH,87.3,"192,405","156,074"
1995,Jan,Alaska,SHELLFISH,159,"350,472","493,179"
1990,Jan,California,SHELLFISH,0.7,"1,515","4,654"
1991,Jan,California,SHELLFISH,0.2,361,"1,367"
1992,Jan,California,SHELLFISH,0.1,249,692
1993,Jan,California,SHELLFISH,0.1,123,269
1994,Jan,California,SHELLFISH,0.1,281,659
1995,Jan,California,SHELLFISH,0.2,354,583
1996,Jan,California,SHELLFISH,0.4,897,769
1997,Jan,California,SHELLFISH,0.4,968,"5,982"
1998,Jan,California,SHELLFISH,0.1,133,501
1999,Jan,California,SHELLFISH,0.3,604,"3,061"
2000,Jan,California,SHELLFISH,0.2,534,826
2001,Jan,California,SHELLFISH,0,40,262
2002,Jan,California,SHELLFISH,0.1,137,493
2003,Jan,California,SHELLFISH,1.4,"3,067","2,500"
2004,Jan,California,SHELLFISH,0,29,228
2005,Jan,California,SHELLFISH,0,39,284
2006,Jan,California,SHELLFISH,0.1,145,510
2007,Jan,California,SHELLFISH,2.5,"5,441","2,376"
2008,Jan,California,SHELLFISH,0.2,371,161
2009,Jan,California,SHELLFISH,0,14,94
2010,Jan,California,SHELLFISH,0,45,289
2011,Jan,California,SHELLFISH,0.1,142,232
2012,Jan,California,SHELLFISH,0.4,806,"5,687"
2013,Jan,California,SHELLFISH,0.5,996,"10,357"
2014,Jan,California,SHELLFISH,0,56,714
2015,Jan,California,SHELLFISH,0.3,659,"1,213"
1990,Jan,Oregon,SHELLFISH,1.6,"3,492","8,947"
1991,Jan,Oregon,SHELLFISH,0.6,"1,312","2,211"
1992,Jan,Oregon,SHELLFISH,1,"2,245","2,833"
1993,Jan,Oregon,SHELLFISH,0.1,247,522
1994,Jan,Oregon,SHELLFISH,5.4,"11,940","32,071"
1995,Jan,Oregon,SHELLFISH,21.8,"48,017","56,045"
1996,Jan,Oregon,SHELLFISH,2,"4,437","3,987"
1997,Jan,Oregon,SHELLFISH,41.7,"91,850","65,136"
1998,Jan,Oregon,SHELLFISH,1.5,"3,238","4,692"
1999,Jan,Oregon,SHELLFISH,4,"8,858","5,631"
2000,Jan,Oregon,SHELLFISH,19.2,"42,354","33,612"
2001,Jan,Oregon,SHELLFISH,31.7,"69,904","61,274"
2002,Jan,Oregon,SHELLFISH,19,"41,960","52,365"
2003,Jan,Oregon,SHELLFISH,18,"39,642","22,380"
2004,Jan,Oregon,SHELLFISH,5.5,"12,232","8,131"
2005,Jan,Oregon,SHELLFISH,27.1,"59,642","18,740"
2006,Jan,Oregon,SHELLFISH,10.4,"22,907","7,931"
2007,Jan,Oregon,SHELLFISH,5.4,"11,811","4,819"
2008,Jan,Oregon,SHELLFISH,19,"41,898","14,951"
2009,Jan,Oregon,SHELLFISH,28.6,"62,983","22,502"
2010,Jan,Oregon,SHELLFISH,14.2,"31,333","17,730"
2011,Jan,Oregon,SHELLFISH,11.5,"25,436","13,125"
2012,Jan,Oregon,SHELLFISH,13,"28,696","16,052"
2013,Jan,Oregon,SHELLFISH,30,"66,151","44,701"
2014,Jan,Oregon,SHELLFISH,17,"37,523","28,627"
2015,Jan,Oregon,SHELLFISH,39.5,"87,091","48,760"
1990,Jan,Washington,SHELLFISH,5.2,"11,401","54,970"
1991,Jan,Washington,SHELLFISH,3.7,"8,165","102,475"
1992,Jan,Washington,SHELLFISH,4.5,"9,869","72,282"
1993,Jan,Washington,SHELLFISH,7.2,"15,904","109,932"
1994,Jan,Washington,SHELLFISH,11.1,"24,437","154,487"
1995,Jan,Washington,SHELLFISH,7.2,"15,813","128,460"
1996,Jan,Washington,SHELLFISH,10.2,"22,535","170,946"
1997,Jan,Washington,SHELLFISH,9.6,"21,102","155,682"
1998,Jan,Washington,SHELLFISH,9.6,"21,149","144,136"
1999,Jan,Washington,SHELLFISH,13.7,"30,172","355,893"
2000,Jan,Washington,SHELLFISH,14.2,"31,260","288,281"
2001,Jan,Washington,SHELLFISH,48.8,"107,676","1,260,365"
2002,Jan,Washington,SHELLFISH,45.5,"100,314","1,184,058"
2003,Jan,Washington,SHELLFISH,59,"130,180","1,515,602"
2004,Jan,Washington,SHELLFISH,65.7,"144,915","1,553,896"
2005,Jan,Washington,SHELLFISH,65.9,"145,297","1,588,453"
2006,Jan,Washington,SHELLFISH,122.2,"269,442","3,611,352"
2007,Jan,Washington,SHELLFISH,85.2,"187,836","2,432,349"
2008,Jan,Washington,SHELLFISH,83.9,"184,919","2,249,608"
2009,Jan,Washington,SHELLFISH,82.3,"181,384","2,155,331"
2010,Jan,Washington,SHELLFISH,88.8,"195,690","1,858,209"
2011,Jan,Washington,SHELLFISH,92.8,"204,519","2,227,262"
2012,Jan,Washington,SHELLFISH,62.7,"138,335","2,162,789"
2013,Jan,Washington,SHELLFISH,111,"244,699","2,626,523"
2014,Jan,Washington,SHELLFISH,64.1,"141,243","748,627"
2015,Jan,Washington,SHELLFISH,113.4,"250,068","830,824"
1990,Feb,Alaska,SHELLFISH,159.1,"350,787","209,247"
1991,Feb,Alaska,SHELLFISH,54.7,"120,642","122,512"
1994,Feb,Alaska,SHELLFISH,10.3,"22,608","25,193"
1995,Feb,Alaska,SHELLFISH,4.2,"9,199","12,388"
1990,Feb,California,SHELLFISH,1.2,"2,680","5,008"
1991,Feb,California,SHELLFISH,0.1,309,817
1992,Feb,California,SHELLFISH,0.4,965,"10,469"
1993,Feb,California,SHELLFISH,0.1,121,305
1994,Feb,California,SHELLFISH,0.2,345,"3,141"
1995,Feb,California,SHELLFISH,0.4,843,"1,122"
1996,Feb,California,SHELLFISH,0.1,260,832
1997,Feb,California,SHELLFISH,1.3,"2,789","2,646"
1998,Feb,California,SHELLFISH,1.4,"3,011","3,161"
1999,Feb,California,SHELLFISH,0.2,478,"2,970"
2000,Feb,California,SHELLFISH,0.1,278,897
2001,Feb,California,SHELLFISH,0,106,204
2002,Feb,California,SHELLFISH,0,72,499
2003,Feb,California,SHELLFISH,0.4,856,701
2004,Feb,California,SHELLFISH,28.5,"62,823","89,637"
2005,Feb,California,SHELLFISH,1.4,"3,177","5,485"
2006,Feb,California,SHELLFISH,0.1,115,283
2007,Feb,California,SHELLFISH,0.3,620,"1,012"
2008,Feb,California,SHELLFISH,0.1,264,522
2009,Feb,California,SHELLFISH,0,38,332
2010,Feb,California,SHELLFISH,0,31,393
2011,Feb,California,SHELLFISH,0,24,50
2012,Feb,California,SHELLFISH,0.3,651,"13,227"
2013,Feb,California,SHELLFISH,0.1,145,"1,244"
2014,Feb,California,SHELLFISH,0.1,222,"1,613"
2015,Feb,California,SHELLFISH,0.1,243,892
