Total,Taxa,Exporter Country,YEAR,Modeled Data
11,Acanthurus leucosternon,Australia,2000,0
116,Acanthurus leucosternon,Australia,2000,1
20,Amblyeleotris diagonalis,Australia,2000,0
537,Amphiprion akindynos,Australia,2000,0
17,Amphiprion clarkii,Australia,2000,0
158,Amphiprion clarkii,Australia,2000,1
127,Amphiprion melanopus,Australia,2000,0
76,Amphiprion percula,Australia,2000,0
26,Amphiprion perideraion,Australia,2000,0
112,Anampses neoguinaicus,Australia,2000,0
28,Anchitosia queenslandensis,Australia,2000,0
28,Balistoides conspicillum,Australia,2000,0
137,Chaetodon aureofasciatus,Australia,2000,0
28,Chaetodon auriga,Australia,2000,0
219,Chaetodon flavirostris,Australia,2000,0
431,Chaetodon rainfordi,Australia,2000,0
34,Chaetodon ulietensis,Australia,2000,0
12,Chaetodon vagabundus,Australia,2000,0
1972,Chaetodontoplus duboulayi,Australia,2000,0
1148,Chaetodontoplus personifer,Australia,2000,0
1231,Chelmon rostratus,Australia,2000,0
325,Chelmon rostratus,Australia,2000,1
6783,Choerodon fasciatus,Australia,2000,0
147,Chromis viridis,Australia,2000,0
1051,Chromis viridis,Australia,2000,1
216,Chrysiptera cyanea,Australia,2000,0
671,Chrysiptera cyanea,Australia,2000,1
1206,Chrysiptera starcki,Australia,2000,0
727,Chrysiptera taupou,Australia,2000,0
1948,Cirrhilabrus laboutei,Australia,2000,0
3598,Cirrhilabrus lineatus,Australia,2000,0
3637,Cirrhilabrus scottorum,Australia,2000,0
249,Coradion altivelis,Australia,2000,0
71,Fromia indica,Australia,2000,0
55,Genicanthus watanabei,Australia,2000,0
182,Hemiscyllium ocellatum,Australia,2000,0
24,Heteractis magnifica,Australia,2000,0
133,Heteractis malu,Australia,2000,0
35,Heteractis malu,Australia,2000,1
332,Heterodontus portusjacksoni,Australia,2000,0
173,Labroides dimidiatus,Australia,2000,0
201,Labroides dimidiatus,Australia,2000,1
12,Lysmata debelius,Australia,2000,0
126,Lysmata debelius,Australia,2000,1
1338,Macropharyngodon choati,Australia,2000,0
14,Monocentris japonica,Australia,2000,0
25,Naso lituratus,Australia,2000,0
20,Naso lituratus,Australia,2000,1
311,Ogilbyina novaehollandiae,Australia,2000,0
115,Orectolobus japonicus,Australia,2000,0
3844,Paracanthurus hepatus,Australia,2000,0
1851,Paracanthurus hepatus,Australia,2000,1
32,Pomacanthus imperator,Australia,2000,0
13,Pomacanthus semicirculatus,Australia,2000,0
19,Pomacentrus caeruleus,Australia,2000,0
47,Premnas biaculeatus,Australia,2000,0
21,Premnas biaculeatus,Australia,2000,1
