"Multidimensional poverty index (MPI)"
"HDI Rank (2015)","Country","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"169"," Afghanistan","","","","","","","0.293","","","",""
"75"," Albania","","","","","0.005","","","","","",""
"45"," Argentina","0.015","","","","","","","","","",""
"84"," Armenia","","","","","","0.002","","","","",""
"78"," Azerbaijan","","0.009","","","","","","","","",""
"139"," Bangladesh","","","0.294","","","","0.237","","","0.188",""
"54"," Barbados","","","","","","","","0.004","","",""
"52"," Belarus","0.001","","","","","","","","","",""
"103"," Belize","","0.028","","","","","0.030","","","",""
"167"," Benin","","0.401","","","","","","0.343","","",""
"132"," Bhutan","","","","","","0.128","","","","",""
"118"," Bolivia (Plurinational State of)","","","","0.097","","","","","","",""
"81"," Bosnia and Herzegovina","","0.013","","","","","","0.006","","",""
"79"," Brazil","","0.017","","","","","","0.012","0.012","0.010",""
"185"," Burkina Faso","","0.538","","","","0.508","","","","",""
"184"," Burundi","0.485","","","","","0.442","","","","",""
"143"," Cambodia","0.282","","","","","0.211","","","","0.150",""
"153"," Cameroon","","0.304","","","","","0.260","","","",""
"188"," Central African Republic","","0.464","","","","0.424","","","","",""
"186"," Chad","","","","","","0.545","","","","",""
"90"," China","","","","","0.026","","","0.023","","",""
"95"," Colombia","","","","","","0.032","","","","",""
"160"," Comoros","","","","","","","","0.165","","",""
"135"," Congo","","","","","0.154","","","0.192","","",""
"176"," Congo (Democratic Republic of the)","","","","","","0.399","","","","0.369",""
"171"," Côte d'Ivoire","0.269","","","","","","","0.307","","",""
"172"," Djibouti","","0.128","","","","","","","","",""
"99"," Dominican Republic","","","0.026","","","","","","0.025","",""
"89"," Ecuador","","0.043","","","","","","","","0.015",""
"111"," Egypt","","","","0.036","","","","","","0.016",""
"174"," Ethiopia","","","","","","","0.537","","","",""
"109"," Gabon","","","","","","","","0.073","","",""
"173"," Gambia","","0.329","","","","","","","0.289","",""
"70"," Georgia","0.008","","","","","","","","","",""
"139"," Ghana","","","","0.186","","","0.144","","","0.147",""
"183"," Guinea","0.548","","","","","","","0.425","","",""
"178"," Guinea-Bissau","","0.495","","","","","","","","",""
"127"," Guyana","","","0.032","","0.031","","","","","",""
"163"," Haiti","","0.315","","","","","","0.242","","",""
"130"," Honduras","","0.156","","","","","","0.098","","",""
"131"," India","","0.282","","","","","","","","",""
"113"," Indonesia","","","0.043","","","","","0.024","","",""
