taxon_name,common_name,states,references,notes
Haliotis,Abalones,NA?,,
Haliotidae,"Abalones, ear shells",Alaska,,Only small harvest area in Alaska
Miscellaneous aquatic invertebrates,Aquatic invertebrates,,,
Donax,Bean clams,,,
Upogebia pugettensis,Blue mud shrimp,"Washington, Oregon",,
Saxidomus gigantea,Butter clam,BC,,
Bivalvia,Clams,"Washington, Oregon, California",,
Penaeidae,Commercial shrimps and prawns,"Washington, Oregon, California",,
Decapoda,"Crabs, lobsters, shrimps",,,
Cancer magister,Dungeness crab,,,
Mytilus,Edible sea mussels,,,
Ostrea,Flat oysters,,,
Tresus,Gaper clams,,,
Malacostraca,"Lobsters, crabs, shrimps, krill",,,
Brachyura,Marine crabs,,,
Miscellaneous marine crustaceans,"Marine crabs, shrimps, lobsters nei",,,
Pandalidae,Northern shrimps,,,
Clinocardium nuttallii,Nuttall cockle,,,
Pandalus jordani,Ocean shrimp,,,
Crassostrea gigas,Pacific cupped oyster,,,
Tresus nuttallii,Pacific gaper clam,,,
Panopea abrupta,Pacific geoduck,"Alaska, BC, Washington, Oregon, California",None,Google scholar and web of science searches did not turn up any studies that considered the effects of oil spills on geoducks (panomya ampla)
Protothaca staminea,Pacific littleneck clam,,,
Siliqua patula,Pacific razor clam,,,
Cancer productus,Pacific rock crab,,,
Paralithodes camtschaticus,Red king crab,,,
Sicyonia ingentis,Ridgeback rock shrimp,,,
Mya arenaria,Sand gaper,,,
Gastropoda,Sea snails,,,
Pandalus,Seabed shrimps,,,
Strongylocentrotus,Sickle-arched sea urchins,,,
Lithodidae,Stone/king crabs,,,
Chionoecetes,"Tanner, snow crabs",,,
Ostreidae,True oysters,,,
Veneridae,Venus clams,,,
Patinopecten caurinus,Weathervane scallop,,,
